Name,Location,Visited
Melo (everything bagel donut),Canada Vancouver??,False
"Winnie the Pooh Afternoon Tea, Westin Bayshore Vancouver",,False
Cafe leon dore- nyc,,False
Suki curry,nyc,False
Bar Pitti,nyc (I want the pappardelle alla fiesolana),False
Cosimo & Johnny's Pizzeria,Eastchester,False
Ciao restaurant,chopped salad and ask for fresh mozzarella and grilled chicken*,False
Jaiya Thai,nyc,False
Jin ramen,nyc,False
Prince street pizza,NY,False
Artichoke Basille's Pizza,NY,False
5 napkin burger,ny,False
Prince tea house,NY,False
Double chicken please- hot honey sandwich- LES nyc,,False
Fresco by Scotto,ny Rockefeller,False
The compound coffee co,NJ want the coffee sampler,False
Biggby coffee,NJ,False
Chocobar cortes,Bronx,False
Kajiken- nyc,see TikTok for noodle recos,False
MELT sandwich shop,white plains,False
886 Taiwanese,st. marks,False
Stein's Market and Deli in New Orleans,,False
Need to get Bibimbap doshirak,,False
Virtue Restaurant in Chicago,Obama ate fried chicken and looked bussin,False
Peaquods,chicago deep dish,False
Giant,chicago BB alum Andy recco,False
Hopleaf,chicago BB alum Andy recco,False
Monteverde,chicago BB alum Andy recco,False
Andros Taverna,chicago BB alum Andy recco,False
Cape cod creamery,Massachusetts,False
"Dinand par ferdi- Paris, nyc",,False
Phil’s pizzeria,Francesco Fries -Syosset LI,False
Nofodoco- blueberry donut maybe LI,,False
12 chairs cafe,nyc - chicken schnitzel salad,True
Mannys bistro,nyc - UWS *****,True
La mercerie,soho - I want the choco chip cookie,True
Cicci di carne,nyc *kevin recco and megan had delish,True
Arthur and son -nyc,,True
Bobbi’s Italian Beef- nyc,chicago hot dog,True
Steve’s key lime,red hook Brooklyn,True
All’ antico vinaio,I want the favolosa- nyc,True
Enly- tiramisu latte,,True
Le Relais de Venise L'Entrecôte,nyc,True
MáLà project,nyc,True
L’entrecote,steak fries,True
Little Spain,nyc - I want the olive oil soft serve,True
Au Zataar,nyc,True
Javelina,nyc,True
Maison pickle,nyc - cheese fries and bread with honey butter,True
Sunday in Brooklyn,Brooklyn get the pancakes with maple praline,True
Fini pizza,Williamsburg Brooklyn - white slice,True
El born,greenpoint bk - tapas,True
Barney greengrass,UWS - latkes,True
Fini pizza,nyc - white lemon slice,True
Rolo’s- queens ny,Jeremey Allen white recco - burger and lasagna good,True
Tazza,coffee *,True
Chunky boss chicken,nyc,True
Laura’s bagel,new Rochelle for long bagel (used to be Sammy’s) Sammy’s stick,True
Yellow rose,nyc good Tex mex and the sheet cakes are good,True
Aroma espresso bar,Canada,True
Burgerology,Buffalo Mac and cheese- farmingdale LI,True
Mona Lisa deli,Scarsdale **,True
Coffee project,nyc - cherry blossom latte,True
Sonnyboy,nyc burrata + fig toast,True
Edith,Williamsburg bk - bagel,True
la rina pastificio e vino,Brooklyn,True
Kured- nyc,,True
Win son,Brooklyn we need cuz cody got,True
Walters,"hot dogs - Mamaroneck, NY",True
Parm,nyc,True
Emmy’s squared,nyc - get MVP,True
Oh! Taisho,nyc - we’ve been there and good,True
Utopia bagels,queens I need Prosciutto Bagel with Bacon Cream Cheese and Bacon,True
Tuck’d away,tuckahoe* their nachos are meant to be good,True
The Hungarian pastry shop,nyc,True
Wah fung no 1,Chinatown NYC - char wii,True
O’bagel,"NJ - Bacon, egg and cheese, with a hash-brown and scallion cream cheese on an everything bagel / beesting",True
Bibble & Sip,nyc,True
Au cheval- nyc I want the egg burger,,True
Deviant Donuts,"mystic, CT",True
Compton’s,Astoria queens,True
Haidilao,queens - hotpot,True
Budlong- Chicago,garbage plate !!! - the home fries were burnt megan liked more than shadman,True
Punjabi deli,nyc get the chai,True
Maria restaurant,new Rochelle,True
Pops espresso bar,new Rochelle,True
Anita gelato,nyc,True
Milano market,nyc ues - best chicken Caesar wrap,True
Enzo Bruni,nyc - Italian panuozzo when we lose 5 lbs each,True
Dudleys- nyc fried chicken sandwich,,True
Maman soho,nyc,True
Lenny’s bagels,new ro Create your own egg sandwich with 2 scrambled eggs / steak / pepper jack cheese / hash brown on an everything bagel lmfao,True
Krispy pizza,Brooklyn trio pizza,True
Fortunato brothers in Williamsburg,pistachio cannoli,True
jack's wife freda,nyc,True
Mission sandwich,"Brooklyn - get sandwich with prosciutto di parma, cantaloupe, hot honey, arugula, preserved lemon aioli and the sandwich kalbi-inspired short rib, French fries, kimchi, lettuce",True
L&BS,pizza in Brooklyn *joey recco “It’s famous you get the Sicilian whole pie and get Spumoni pint”,True
Moms kitchen and bar,queens - the avo toast v good,True
Ole and steen,nyc never go again I hate,True
10000 coffee,nyc,True
Galloways pies,Scarsdale - need to get the rainbow cookies (for Agnes - she wants),True
Ralph’s coffee,,True
Frenemies pizza,domino’s pineapple/jalapeños/black olives 6/11 and shadman loved despite dissing it,True
Bluestone Lane Westchester Coffee Shop,,True
Cheese day,7/24,True
Meat the Greek restaurant*,,True
Turkish,,True
Carlo’s,Yonkers* ⭐️⭐️⭐️⭐️⭐️,True
Mason sandwich co* -blt salad??,,True
Korean fried cheese,,True
Stephen’s green (their curry is good)*,8/28,True
A lovely wee tearoom (Alice tea room chapter 2),,True
Beach donuts,"Clinton, CT",True
Land of Thai,"Clinton, CT",True
Hapag,7/3,True
KOREAN CORNDOGS,,True
Mister dips,NY 7/24,True
Blank street,NY 7/24,True
“You got to try polenta fries from wooden fire with honey”*,Agnes O’Brien,True
Little B's Burger Bar,Joey recco,True
Caffe ammi,,True
Via forno,,True
Brazilian steak house 6/5,,True
Tim Hortons,iced capp ⭐️⭐️⭐️⭐️⭐️,True
Eataly,10/10,True
"El barrio- Scarsdale ** allegedly the burger good (fig jam, etc.) 10/10",,True
Ziatun,beacon ny,True
